PuntoConteo,Dia,Liviano,Autobuses,C23E,C4E,C5E
500,08/03/2017,36752,401,432,929,1141
500,08/03/2018,36448,364,445,849,1149
500,08/03/2019,36871,431,516,871,1206
500,08/04/2015,37261,319,428,1039,942
500,08/04/2016,38124,309,479,898,1110
500,08/04/2017,34571,322,450,897,1166
500,08/04/2018,28094,153,241,591,678
500,08/04/2019,32497,317,386,841,1056
500,08/05/2015,39730,314,446,1031,974
500,08/05/2016,26791,139,266,618,616
500,08/05/2017,33517,340,358,807,960
500,08/05/2018,26412,264,386,875,1036
500,08/05/2019,34733,361,368,963,1198
500,08/06/2015,34081,230,350,950,794
500,08/06/2016,37124,339,430,942,1060
500,08/06/2017,34930,360,393,839,1096
500,08/06/2018,32805,424,529,770,1142
500,08/06/2019,34502,316,420,906,1054
500,08/07/2015,35682,320,478,929,994
500,08/07/2016,37284,356,457,905,1135
500,08/07/2017,31721,269,435,814,1049
500,08/07/2018,26191,138,220,553,606
500,08/07/2019,32187,264,342,823,1107
500,08/08/2015,34626,285,474,987,831
500,08/08/2016,32812,268,361,805,969
500,08/08/2017,34784,356,461,813,1189
500,08/08/2018,31393,373,512,790,1097
500,08/08/2019,38138,307,479,973,1112
500,08/09/2015,35627,338,476,942,995
500,08/09/2016,36120,355,453,898,1059
500,08/09/2017,34829,390,433,795,1106
500,08/09/2018,29315,232,411,822,1014
500,08/09/2019,25589,127,320,606,587
500,08/10/2015,35784,279,412,965,1037
500,08/10/2016,32458,265,427,866,1007
500,08/10/2017,25027,85,235,601,627
500,08/10/2018,23422,238,213,401,587
500,08/10/2019,23444,238,213,401,587
500,08/11/2015,27954,178,268,668,582
500,08/11/2016,34539,342,441,934,1119
500,08/11/2017,35208,423,480,796,1168
500,08/11/2018,6583,31049,337,414,770
500,08/11/2019,35311,423,480,796,1168
500,08/12/2015,37676,327,472,1009,1090
500,08/12/2016,36887,366,445,868,1142
500,08/12/2017,40008,496,542,779,1171
500,08/12/2018,34065,335,435,798,1090
500,08/12/2019,40129,496,542,779,1171
500,09/01/2015,35829,295,403,1058,938
500,09/01/2016,30535,250,440,920,941
500,09/01/2017,30102,253,321,790,1029
500,09/01/2018,33051,348,424,769,1095
500,09/01/2019,30949,301,339,884,1218
500,09/02/2015,34378,283,350,958,864
500,09/02/2016,35131,336,457,936,1077
500,09/02/2017,36670,325,475,900,1163
500,09/02/2018,35793,380,422,785,1123
500,09/02/2019,31745,228,418,864,1052
500,09/03/2015,34020,304,382,894,876
500,09/03/2016,35871,343,516,892,1089
500,09/03/2017,35948,392,426,936,1104
500,09/03/2018,37532,404,481,807,1173
500,09/03/2019,33523,273,394,900,1040
500,09/04/2015,37524,304,416,1054,939
500,09/04/2016,34560,271,401,929,1063
500,09/04/2017,23991,141,315,629,672
500,09/04/2018,31385,347,390,749,1030
500,09/04/2019,34318,394,491,854,1086
500,09/05/2015,36399,272,434,1029,822
500,09/05/2016,33812,283,351,852,899
500,09/05/2017,35756,361,436,851,1196
500,09/05/2018,31305,402,537,757,1161
500,09/05/2019,34929,350,388,960,1166
500,09/06/2015,37233,327,430,1042,916
500,09/06/2016,36509,316,427,883,1061
500,09/06/2017,35598,351,422,780,1153
500,09/06/2018,33133,262,397,830,1059
500,09/06/2019,24666,147,259,593,691
500,09/07/2015,35294,322,465,926,992
500,09/07/2016,32838,279,448,875,992
500,09/07/2017,27119,181,324,653,562
500,09/07/2018,30450,311,413,750,1078
500,09/07/2019,34247,338,430,887,1227
500,09/08/2015,27335,157,287,684,445
500,09/08/2016,24604,257,374,892,1030
500,09/08/2017,34308,372,399,774,1185
500,09/08/2018,32086,392,465,791,1151
500,09/08/2019,39285,389,528,830,1186
500,09/09/2015,36491,353,518,956,1002
500,09/09/2016,36568,358,504,837,1141
500,09/09/2017,32605,262,377,870,1040
500,09/09/2018,24051,137,232,630,615
500,09/09/2019,33123,256,418,854,1008
500,09/10/2015,37110,327,478,946,1090
500,09/10/2016,26132,117,243,565,589
500,09/10/2017,32417,310,352,810,1004
500,09/10/2018,24668,284,247,424,720
500,09/10/2019,24689,284,247,424,720
500,09/11/2015,32540,303,426,888,953
500,09/11/2016,34830,327,425,876,1158
500,09/11/2017,35495,461,494,766,1190
500,09/11/2018,6598,32993,328,459,805
500,09/11/2019,35600,461,494,766,1190
500,09/12/2015,37900,351,507,1002,1064
500,09/12/2016,37520,383,461,843,1195
500,09/12/2017,39156,336,424,819,1094
500,09/12/2018,29804,188,321,679,627
500,09/12/2019,39276,336,424,819,1094
500,10/01/2015,30717,223,373,954,818
500,10/01/2016,26416,125,303,662,566
500,10/01/2017,32708,290,377,842,1144
500,10/01/2018,33599,393,469,781,1132
500,10/01/2019,31543,290,351,913,1141
500,10/02/2015,37426,312,458,1075,967
500,10/02/2016,35435,338,441,991,1039
500,10/02/2017,37538,390,450,909,1183
500,10/02/2018,32406,251,452,792,1103
500,10/02/2019,22157,122,266,588,636
500,10/03/2015,37418,302,456,1027,954
500,10/03/2016,36889,338,502,909,1058
500,10/03/2017,37334,417,495,909,1155
500,10/03/2018,34219,259,423,820,1079
500,10/03/2019,26933,147,288,587,703
500,10/04/2015,39101,319,446,1044,979
500,10/04/2016,24130,151,291,600,624
500,10/04/2017,27838,261,345,707,873
500,10/04/2018,32044,462,473,775,1154
500,10/04/2019,35072,467,501,791,1147
500,10/05/2015,28098,140,315,692,458
500,10/05/2016,34367,319,420,889,1045
500,10/05/2017,35317,362,380,901,1093
500,10/05/2018,36652,466,531,852,1168
500,10/05/2019,36419,348,414,950,1186
500,10/06/2015,33151,287,385,927,930
500,10/06/2016,37437,356,441,833,1071
500,10/06/2017,31379,253,363,839,1031
500,10/06/2018,26391,126,218,546,633
500,10/06/2019,30501,288,374,772,1040
500,10/07/2015,36967,375,423,946,1000
500,10/07/2016,27039,139,288,598,571
500,10/07/2017,34586,312,370,862,1085
500,10/07/2018,29664,340,427,797,1158
500,10/07/2019,35971,345,449,843,1297
500,10/08/2015,32622,309,373,889,835
500,10/08/2016,35151,335,406,920,1051
500,10/08/2017,34007,376,465,791,1139
500,10/08/2018,31264,413,501,719,1184
500,10/08/2019,35157,221,489,914,977
500,10/09/2015,35365,356,468,912,989
500,10/09/2016,34884,239,429,871,971
500,10/09/2017,24141,126,237,565,595
